アイビー,永遠の愛、友情、不滅
アイリス,愛、あなたを愛す、優しい心
アカシア,プラトニックな愛、純潔な恋、秘めた恋
アカネ,私を思って、媚び、誹謗
アサガオ,愛情のきずな、はかない恋
アザミ,権威、厳格、人間嫌い、触れないで
アザレア,愛の楽しみ、あなたに愛されて幸せ
アザレア(ピンク),青春の喜び
アザレア(赤),節制、節度の愛
アザレア(白),愛されることを知った喜び、満ち足りた心
アジサイ,元気な女性、高慢、浮気
アスター,思い出、追憶、追想、さよなら
アスター(白),私を信じて下さい、私に信じさせて下さい
アスター(ピンク),甘い夢
アスター(紫),恋の勝利、私の愛はあなたの愛よりも深い
アスター(青),信頼、私はあなたを信じているが心配です
アスナロ,永遠のあこがれ、不変の友情
アスパラガス,不変、変化がない、何も変わらない
アッツザクラ,無意識、愛を待つ
アネモネ,はかない恋、はかない希望、薄れゆく希望
アネモネ(紫),信じて従う
アネモネ(赤),自分の愛を信じる、君を愛す
アマリリス,おしゃべり、誇り、静寂
アヤメ,使者、よい便り、よい便りを待っています
アロエ,健康、健やか、信頼
アンズ,処女のはにかみ、乙女のはじらい
イチジク,子宝に恵まれる、多産、実りある恋
イバラ,後悔、下品
ウメ,気品、高潔、高潔な心
ウメモドキ,深い愛情、明朗
エーデルワイス,初恋の感動、尊い思い出、尊い記憶
エゾギク,後思案、考えてから、変化
エゾギク(白),信じる心、同感
オジギソウ,感じやすい心、繊細な感じ、デリケートな感受性
オシロイバナ,あなたを思う、臆病、小心
オミナエシ,永久、親切、美しさ
オンシジウム,可憐、気立ての良さ、清楚
カーネーション,若い娘、女の愛、純粋な愛情
カーネーション(赤),あなたを熱愛しています、熱烈な愛情、あなたの愛を信じる
カーネーション(黄),軽蔑、侮蔑
カーネーション(白),生きている愛情、あなたの愛は生きています
カーネーション(ピンク),熱愛、熱愛の告白
ガーベラ,悲しみ、希望、前進
ガーベラ(ピンク),崇高美
ガーベラ(赤),神秘
ガーベラ(黄),究極の美
カスミソウ,清らかな心、無邪気、夢見心地
カスミソウ(赤),切なる願い、感激
カスミソウ(ピンク),切なる喜び、感激
カスミソウ(白),清い心、静心
カトレア,あなたは美しい、優美な貴婦人、優雅な女性
カトレア(白),魔力
カトレア(黄),魅了
カトレア(紫),優美な女性、優美な女心
カミツレ,苦難の中での力、逆境に負けない強さ
カラー,乙女のしとやかさ、情熱的、熱血
カラー(黄),壮大な美
カラー(白),愛情、乙女の清らかさ、清浄
カランコエ,あなたを守る、おおらかな心
カリン,豊かで美しい、可能性がある
カルミア,優美な女性、大志（望）を抱く、野望
カキツバタ,幸運が来る、幸せは必ず来る
カンナ,永続、堅実な未来、快活
カンナ(赤),堅実な末路、堅実な最後
カンナ(黄),永続き、永遠
キキョウ,やさしい愛情、やさしい温かさ、温和
キク,私を信じて下さい、女性的な愛情、清浄
キク(黄),わずかな愛、失意、破れた恋
キク(赤),愛、私は愛します、真の愛
キク(白),真実、誠実、慕う
キンギョソウ,清純な心、おしゃべり、出しゃばり
キンセンカ,乙女の美しい姿、失望、悲しみと嘆き
キンセンカ(黄),繊細な美しさ
キンモクセイ,謙虚、謙遜、真実
クチナシ,とてもうれしい、幸福者、とても幸せです
グラジオラス,愛の祈り、堅固、尚武
グラジオラス(ピンク),たゆまぬ努力、ひたむきな愛、満足
グラジオラス(紫),堅固、情熱的な恋
クロッカス,青春の喜び、楽しみ、切望
クロッカス(黄),私を信じよ
クロッカス(赤),愛しすぎる心配
クロッカス(紫),愛して後悔する
グロリオサ,華麗、華美、光栄
ケイトウ,情愛、色あせない恋、しぼまない恋
コスモス,乙女の純潔、乙女の心情、調和
コスモス(ピンク),少女の純潔
コスモス(赤),乙女の愛情、調和、乙女のまごころ
コスモス(白),美麗、優美、乙女の純潔
コチョウラン,清純、美しさ、華やかさ
コデマリ,伸びゆく姿、努力する、優雅
サイネリア,元気、いつも快活、常に喜びに満ちている
サイネリア(紫),喜び、悩める思い
サクラ,心の優しさ、優れた美人、優美な女性
サクラソウ,かわいい、初恋、希望
サクラソウ(赤),顧みられない美、絵画
サクラソウ(白),初恋、富貴、神秘な心
サザンカ,ひたむきな愛、愛嬌、理想の恋
サザンカ(赤),謙譲、無垢
サザンカ(白),理想の恋、高潔、愛嬌
サツキ,節約、節制
サフラン,陽気、楽しみ、歓喜
サフラン(白),愛嬌
サフラン(黄),青春の喜び
サフラン(紫),過度の警戒、楽しみ、私の幸福な日は過ぎた
サルスベリ,愛敬、潔白、雄弁
サルビア,尊敬、燃える思い、私の心は燃えている
サルビア(白),不断の精力
シクラメン,内気、はにかみ、恥ずかしがり屋
シクラメン(赤),内気、嫉妬
シクラメン(白),思いやり、はにかみ
シャクナゲ,威厳、荘厳、内気
シャクヤク,つつましやか、はにかみ、恥じらい
ジャスミン,愛らしさ、愛嬌、優美
ジャスミン(白),温順、柔和、愛の通夜
ジャスミン(黄),優雅、恩恵と優美
スイセン,神秘、うぬぼれ、我欲
スイセン(黄),気高さ、感じやすい心、もう一度愛して下さい
スイセン(白),自己愛、うぬぼれ
スイートピー,ほのかな喜び、繊細な喜び、優美
スイートピー(ピンク),愛の愉しみ、恋の愉しみ、門出
スイートピー(白),微妙、優しい思い出、門出
スズラン,幸福が訪れる、幸福の再来、幸福のシンボル
スターチス,永遠に変わらない心、変わらない誓い、上品
スターチス(ピンク),永遠に変わらない、いたずら心、驚き
スターチス(黄),愛の喜び、永久不変
スターチス(紫),しとやか、永久不変
ストック,愛の絆、豊かな愛、愛の結合
ストック(ピンク),ふくよかな愛情
ストック(紫),おおらかな愛情、永遠の美
ストック(赤),名もない、名もない平和、信じて下さい
ストック(白),ひそやかな愛、愛の結合、永遠の美
ストック(黄),淋しい恋
ストレリチア,寛容、おしゃれな恋、気取った恋
スミレ,温順、謙虚、謙譲
スミレ(黄),つつましい幸せ、田園の幸福、牧歌的な喜び
スミレ(白),無邪気な愛、無邪気な恋、あどけない恋
スミレ(ピンク),希望
スミレ(紫),ささやかな幸せ、愛、ひそかな愛
ゼラニウム,尊敬と信頼、慰め、安楽
ゼラニウム(ピンク),決心、決意、堅実
ゼラニウム(黄),偶然の出会い
ゼラニウム(白),私はあなたの愛を信じない
ゼラニウム(赤),君がいて幸福、愉快
セントポーリア,小さな愛、小さな心、深窓の美女
ダリア,栄華、華麗、端麗
ダリア(黄),栄華、優美、あふれる喜び
ダリア(赤),栄華、華麗、あふれる喜び
タンポポ,神のお告げ、愛の信託、田舎の託宣
チューリップ,永遠の愛情、愛の告白、恋の告白
チューリップ(赤),愛の告白、愛の宣告、美しい瞳
チューリップ(紫),永遠の愛情、不滅の愛
チューリップ(白),思い出の恋、思いやり、失恋
チューリップ(黄),望みのない愛、かなわぬ恋、実らない恋
ツツジ,愛の喜び、中庸、節制
ツバキ,完全な愛、完璧な魅力、誇り
ツバキ(赤),気取らない優美、気取らない魅力、自然の美徳
ツバキ(白),最高の愛らしさ、申し分のない魅力、理想の愛
デンドロビウム,美人、わがままな美人、天性の華を持つ
ドウダンツツジ,すべて上品、節制
ドクダミ,白い追憶
トケイソウ,宗教、信仰、宗教的な情熱
トルコギキョウ,よい語らい、あなたを思う、清美
トルコギキョウ(ピンク),優美
トルコギキョウ(白),楽しい語らい、希望
ナスタチウム,困難に打ち勝つ
ナツツバキ,愛らしさ
ナデシコ,いつも愛して、思慕、純愛
ナノハナ,快活、活発、競争
ネモフィラ,どこでも成功、愛国心、可憐
